model,rpp,comet,meteor,spbleu,bleu_1,rouge_l,ews_score,newline_score,repetition_score,total_repetitions,rr,rrp,perf,rap,translation_completeness,num_max_output_tokens,percentage_of_repeated_entries
Qwen/Qwen2-72B-Instruct,1.00,0.7457879471336964,0.4655033970145371,11.09789843749336,0.1109789843749336,0.4305484344779789,20.488967343336274,20.488967343336274,27.70079435127979,48.18976169461607,0.27753124825269027,27.753124825269026,0.7457879471336964,0.28123706920491254,0.9902912621359223,10,4.148278905560459
Qwen/Qwen2-72B-Instruct,1.02,0.7498899340261324,0.4659242900672017,15.078064414763237,0.1507806441476323,0.4322160855974918,2.8102383053839364,2.8102383053839364,15.191526919682259,18.001765225066197,0.1255625257792252,12.55625257792252,0.7498899340261324,0.5013993970649349,0.9947043248014121,3,3.795233892321271
internlm/internlm2_5-7b-chat,1.00,0.7357995069773978,0.4297612514398102,15.060226683930628,0.1506022668393063,0.4097577795330234,0.04942630185348632,0.04942630185348632,9.235657546337158,9.285083848190645,0.07525035765379114,7.525035765379114,0.7357995069773978,0.5818780952972988,1.0,2,1.853486319505737
internlm/internlm2_5-7b-chat,1.02,0.7377187550620283,0.4246676977198055,14.728605282752795,0.147286052827528,0.4063246630867048,0.06972639011473963,0.06972639011473963,5.35657546337158,5.426301853486319,0.04625547346404442,4.625547346404442,0.7377187550620283,0.6400103546749836,1.0,1,2.294792586054722
internlm/internlm2_5-7b-chat,1.04,0.7371160490183523,0.4173352728374962,13.846403511622256,0.1384640351162226,0.3988121301027288,0.06884377758164166,0.06884377758164166,5.315092674315975,5.383936451897617,0.04501878242643857,4.5018782426438575,0.7371160490183523,0.6419783129560218,1.0,1,2.118270079435128
internlm/internlm2_5-7b-chat,1.06,0.7338597697698218,0.3997609847704189,12.213374588416173,0.1221337458841617,0.3841365748920261,0.05825242718446602,0.05825242718446602,5.275375110326567,5.333627537511033,0.043830827367611756,4.3830827367611755,0.7338597697698218,0.6415304775228275,1.0,1,1.853486319505737
internlm/internlm2_5-7b-chat,1.08,0.7318234702626478,0.3881614120395272,11.369735763522288,0.1136973576352228,0.372963223209074,0.06707855251544571,0.06707855251544571,5.283318623124448,5.350397175639894,0.04300663332269164,4.300663332269164,0.7318234702626478,0.6414061446416202,1.0,1,2.030008826125331
internlm/internlm2_5-7b-chat,1.10,0.7288648442604431,0.3784182249483568,10.377989030628608,0.103779890306286,0.3618424457502351,0.05207413945278023,0.05207413945278023,5.288614298323036,5.340688437775817,0.042176064682512025,4.217606468251202,0.7288648442604431,0.6404777687452994,1.0,1,1.941747572815534
microsoft/Phi-3.5-mini-instruct,1.00,0.710605339281136,0.3788926591792472,9.70032874202361,0.097003287420236,0.3556134739443916,5.390997352162401,5.390997352162401,12.997352162400706,18.388349514563107,0.13770903562694164,13.770903562694164,0.710605339281136,0.4556065638568846,1.0,4,2.118270079435128
microsoft/Phi-3.5-mini-instruct,1.02,0.7150978385770836,0.3741049510326346,9.910633597905436,0.0991063359790543,0.3453160556383774,3.586054721977052,3.586054721977052,7.001765225066196,10.587819947043249,0.08180522500528503,8.180522500528504,0.7150978385770836,0.5535666483700645,1.0,2,1.147396293027361
